external_id,category,skill,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_answer
"533d6d0e","Reading and Writing","Central Ideas and Details","Easy","To make her art more widely available, graphic artist Elizabeth Catlett turned to linocuts. In linocut printing, an artist carves an image into a sheet of linoleum to create a stamp that is used to mass-produce prints. In the linocut series The Black Woman (1946�1947), Catlett depicts the everyday experiences of Black women alongside the achievements of well-known Black women. This pairing invites the viewer to draw connections among the women. The linocut process enabled Catlett's work to reach a wide audience and supported her aim to unite Black women through her art. According to the text, what is significant about Catlett's use of linocut printing?","Linocut printing involved using materials that were readily available to Catlett.","Linocut printing helped Catlett use art to connect people, especially Black women.","Catlett became commercially successful once she started using linocut printing.","Catlett was one of the first Black artists to use linocut printing.","B"
"23c33e5e","Reading and Writing","Central Ideas and Details","Medium","Recently, scientists looked at data collected by NASA's InSight lander to learn more about seismic activity on Mars, known as marsquakes. The data show that the marsquakes all started from the same location on the planet. This discovery was surprising to scientists, as they expected that the marsquakes would originate from all over the planet because of the cooling of the planet's surface. Now, scientists believe that there could be areas of active magma flows deep beneath the planet's surface that trigger the marsquakes. According to the text, what was surprising to scientists studying the seismic activity data from NASA's InSight lander?","The surface temperature of Mars has been rising.","There were different types of seismic waves causing marsquakes.","NASA's InSight lander collected less data than scientists had expected.","All the marsquakes started from the same location on the planet.","D"
"6736cf78","Reading and Writing","Command of Evidence","Medium","""Mrs. Spring Fragrance"" is a 1912 short story by Sui Sin Far. In the story, Mrs. Spring Fragrance, a Chinese immigrant living in Seattle, is traveling in California. In letters to her husband and friend, she demonstrates her concern for what's happening at her home in Seattle while she is away: ______ Which quotation from Mrs. Spring Fragrance's letters most effectively illustrates the claim?","""My honorable cousin is preparing for the Fifth Moon Festival, and wishes me to compound for the occasion some American `fudge,' for which delectable sweet, made by my clumsy hands, you have sometimes shown a slight prejudice.""","""Next week I accompany Ah Oi to the beauteous town of San Jos�. There will we be met by the son of the Illustrious Teacher.""","""Forget not to care for the cat, the birds, and the flowers. Do not eat too quickly nor fan too vigorously now that the weather is warming.""","""I am enjoying a most agreeable visit, and American friends, as also our own, strive benevolently for the accomplishment of my pleasure.""","C"
"80aab1bd","Reading and Writing","Command of Evidence","Easy","Total Areas and 2022 Populations of Smallest Arabian Peninsula Countries Country Total area (square miles) Population Kuwait 6,880 4,268,873 Bahrain 304 1,472,233 Qatar 4,471 2,695,122 In terms of area and population, the three smallest Arabian Peninsula countries are Bahrain, Qatar, and Kuwait. According to the table, what is the total area of Bahrain?","4,268,873 square miles","4,471 square miles","304 square miles","6,880 square miles","C"
"aefb6235","Reading and Writing","Central Ideas and Details","Medium","NASA's Aspera mission, led by Carlos Vargas, will investigate the circumgalactic medium (CGM), the huge swaths of low-density gas that fill and surround galaxies. Specifically, the team will focus on portions of the gas that exist in a ""warm-hot"" phase: these portions haven't previously been observable but are thought to fuel new star formation and hold most of the mass that makes up a galaxy. Using a telescope capable of revealing these parts of the CGM, the Aspera mission should help answer long-standing questions about how galaxies emerge, change, and even interact. Which choice best states the main idea of the text?","As the leader of NASA's Aspera mission, Vargas will be the first person to investigate the makeup of the CGM.","Although galaxies that are surrounded by the CGM have been studied, researchers have been unable to directly observe lowdensity gas in the CGM in the ""warm-hot"" phase.","Researchers don't yet have a complete understanding of the process of galaxy evolution but have raised the possibility that galaxies interact with each other at times.","The Aspera mission is expected to produce the first direct observations of CGM gas in the ""warm-hot"" phase, which likely has an important role in the evolution of galaxies.","D"
"82148e88","Reading and Writing","Command of Evidence","Easy","Researchers Narelle Haworth and Amy Schramm studied bicycling behavior in Queensland, Australia. Haworth and Schramm asked adult bike riders questions about their level of experience, reasons for riding a bike, and route preferences. The researchers claim that experienced riders who mainly bike to work tend to prefer routes that reduce their travel time. Which survey response from a bike rider in Queensland would best support the underlined claim?","""I have a bike, but I don't ride it very often. When the weather is nice, I sometimes use my bike to go into town to do some shopping.""","""I just got a new bike, and I'm looking forward to going on rides with my friends soon.""","""I bike to my job every day. There's a nice bike path that goes through a park, but I use the bike lane on the main road because it's faster.""","""I usually bike to work, but I'm taking the bus now because my bike has a broken part that needs to be fixed.""","C"
"f48d9861","Reading and Writing","Central Ideas and Details","Medium","Cats can judge unseen people's positions in space by the sound of their voices and thus react with surprise when the same person calls to them from two different locations in a short span of time. Saho Takagi and colleagues reached this conclusion by measuring cats' levels of surprise based on their ear and head movements while the cats heard recordings of their owners' voices from two speakers spaced far apart. Cats exhibited a low level of surprise when owners' voices were played twice from the same speaker, but they showed a high level of surprise when the voice was played once each from the two different speakers. According to the text, how did the researchers determine the level of surprise displayed by the cats in the study?","They watched how each cat moved its ears and head.","They examined how each cat reacted to the voice of a stranger.","They studied how each cat physically interacted with its owner.","They tracked how each cat moved around the room.","A"
"a450897e","Reading and Writing","Command of Evidence","Easy","O Pioneers! is a 1913 novel by Willa Cather. In the novel, Cather portrays Alexandra Bergson as having a deep emotional connection to her natural surroundings: ______ Which quotation from O Pioneers! most effectively illustrates the claim?","""She had never known before how much the country meant to her. The chirping of the insects down in the long grass had been like the sweetest music. She had felt as if her heart were hiding down there, somewhere, with the quail and the plover and all the little wild things that crooned or buzzed in the sun. Under the long shaggy ridges, she felt the future stirring.""","""Alexandra talked to the men about their crops and to the women about their poultry. She spent a whole day with one young farmer who had been away at school, and who was experimenting with a new kind of clover hay. She learned a great deal.""","""Alexandra drove off alone. The rattle of her wagon was lost in the howling of the wind, but her lantern, held firmly between her feet, made a moving point of light along the highway, going deeper and deeper into the dark country.""","""It was Alexandra who read the papers and followed the markets, and who learned by the mistakes of their neighbors. It was Alexandra who could always tell about what it had cost to fatten each steer, and who could guess the weight of a hog before it went on the scales closer than John Bergson [her father] himself.""","A"
"b1068f41","Reading and Writing","Inferences","Medium","The Indus River valley civilization flourished in South Asia from 3300 BCE to 1300 BCE. Many examples of the civilization's writing system exist, but researchers haven't yet deciphered it or identified which ancient language it represents. Nevertheless, archaeologists have found historical artifacts, such as clay figures and jewelry, that provide information about the civilization's customs and how its communities were organized. The archaeologists' findings therefore suggest that ______ Which choice most logically completes the text?","investigating an ancient civilization is easier without knowledge of the civilization's language.","knowing an ancient civilization's language isn't necessary in order to learn details about the civilization.","archaeological research should focus on finding additional artifacts rather than deciphering ancient languages.","examining the civilization's historical artifacts has resolved the debate about this civilization's language.","B"
"1f246569","Reading and Writing","Central Ideas and Details","Medium","Using the Stratospheric Observatory for Infrared Astronomy (SOFIA), a team of astronomers mapped out the magnetic field of G47, one of the Milky Way's galactic bones (dense clouds of gas and dust that run through the middle of the arm of a spiral galaxy). Surprisingly, the map revealed a magnetic field with no clear pattern or direction. The researchers had expected the magnetic field to be similar to the more uniform fields seen in galactic bones in other arms of the Milky Way. According to the text, what was surprising about the researchers' mapping of the magnetic field of galactic bone G47?","It showed a weaker magnetic field than expected.","It implied that previous mappings of the magnetic field were inaccurate.","It produced magnetic field measurements similar to those for other galactic bones.","It revealed a magnetic field that wasn't uniform.","D"
"6d871dd5","Reading and Writing","Command of Evidence","Medium","Many music streaming services also function as social media platforms: by giving users the option to follow friends and share curated playlists or information about their listening history, these platforms allow people to convey their music preferences and listening activities directly to their social networks. In a 2023 study, researcher Michael James Walsh interviewed frequent users of a popular music streaming platform to investigate how its social media dimensions shape their listening habits. Walsh found that these dimensions tended to make study participants feel more mindful of how their listening activities may be perceived, which in turn influenced how they managed those activities. Which quotation from a music streaming platform user would best illustrate Walsh's finding?","""When I create playlists or choose songs to listen to, I often pick songs that I think the friends who are following me might be interested in listening to, rather than what I might actually prefer listening to in that moment.""","""Because the predictions the platform makes about what new songs I might like depend on my past listening habits, at times its recommendations can feel overly repetitive and unvarying.""","""The social aspects of music streaming make it really easy to create a sense of a shared listening experience with my friends, even if we aren't in the same room.""","""Listening to music through a streaming platform feels a lot more passive, since I don't need to make any deliberate choices about what music I'm going to consume, like I do when buying digital downloads or records and CDs.""","A"
"798a9aa8","Reading and Writing","Central Ideas and Details","Medium","Businesses selling clothing and other fashion items face obstacles in trying to forecast how much product to order: tastes and styles change quickly, while manufacturing clothing takes a significant amount of time. Researchers Youran Fu and Marshall Fisher have found that combining sellers' own data with information gathered from social media can dramatically improve the accuracy of such forecasts--by 24 to 57 percent in the cases they directly studied. Better predictions mean demand is easier to meet without retailers becoming overstocked. Which choice best states the main idea of the text?","Using multiple data sources can enhance the ability of sellers in the fashion industry to anticipate demand.","Social media is revolutionizing how both sellers and researchers view the fashion industry.","Becoming overstocked is the main preoccupation of sellers trying to forecast demand for fashion items.","Retailers can use their own data to accurately predict how tastes and styles are evolving.","A"
"ce9b3b84","Reading and Writing","Command of Evidence","Medium","Percent of newly installed turbines Rotor Diameters of Newly Installed Wind Turbines in the United States, 2011�2021 90 80 70 60 50 40 30 20 10 0 2011 2012 2013 2014 2015 2016 2017 2018 20192020 2021 Year >130 meters <100 meters 100�115 meters 115�130 meters Difficulty All other things being equal, the larger a wind turbine's rotor diameter (the diameter of the imaginary circle swept by the turbine's rotating blades), the greater amount of energy the turbine can generate. In a research paper on wind power, a student claims that in the United States, the amount of energy generated per newly installed turbine increased substantially between 2011 and 2021. Which choice best describes data in the graph that support the student's claim?","The percentage of newly installed turbines with rotor diameters greater than 130 meters increased every year between 2011 and 2021.","In 2011, nearly 80% of turbines installed had rotor diameters of less than 100 meters, whereas only a little more than 20% of turbines installed that year had rotor diameters of 100�115 meters.","No turbines installed in 2011 had rotor diameters greater than 115 meters, whereas the majority of turbines installed in 2021 had rotor diameters greater than 130 meters.","Most turbines installed in 2011 had rotor diameters of less than 100 meters, whereas most turbines installed in 2021 had rotor diameters of at least 115 meters.","D"
"f318b9c5","Reading and Writing","Command of Evidence","Easy","Just Patty is a 1911 novel by Jean Webster. Patty and her friends have just been informed that they will no longer be roommates while at school. Patty talks to Mrs. Trent, the head of the school, about the situation. The narrator presents Patty as trying hard to convince Mrs. Trent to allow the group to continue sharing a room: ______ Which quotation from Just Patty most effectively illustrates the claim?","""[Mrs. Trent's] lips twitched. It was a fact, deplored by her assistants, that her sense of humour frequently ran away with her sense of justice.""","""[Mrs. Trent] nodded dismissal, and the three of them found themselves in the hall again. They looked at one another for a moment of blank silence.""","""Patty's eyes suddenly brightened. She seized [her friends] by [the] elbow and shoved them into the empty schoolroom.""","""Patty did use all the diplomacy at her command. Having dwelt touchingly upon their long friendship, and their sorrow at being separated, she passed lightly to the matter of their new roommates.""","D"
